word,__sum_candidate,__sum_others,__total_candidate,__total_others,__ratio_candidate,__ratio_others,more_likely_candidate,more_likely_others,__sum_all,__total_all,__ratio_all
compromissos,1.0,9.0,12571.0,110488.0,8e-05,8e-05,0.97657,1.02399,10.0,123059.0,0.81262
comprova,1.0,2.0,12571.0,110488.0,8e-05,2e-05,4.39456,0.22755,3.0,123059.0,0.24379
comprovada,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
comum,3.0,16.0,12571.0,110488.0,0.00024,0.00014,1.64796,0.60681,19.0,123059.0,1.54397
comunicação,2.0,28.0,12571.0,110488.0,0.00016,0.00025,0.62779,1.59288,30.0,123059.0,2.43786
comunidade,1.0,16.0,12571.0,110488.0,8e-05,0.00014,0.54932,1.82043,17.0,123059.0,1.38145
comunidades,1.0,7.0,12571.0,110488.0,8e-05,6e-05,1.25559,0.79644,8.0,123059.0,0.65009
comunista,4.0,5.0,12571.0,110488.0,0.00032,5e-05,7.03129,0.14222,9.0,123059.0,0.73136
comunistas,3.0,3.0,12571.0,110488.0,0.00024,3e-05,8.78912,0.11378,6.0,123059.0,0.48757
comunitárias,1.0,2.0,12571.0,110488.0,8e-05,2e-05,4.39456,0.22755,3.0,123059.0,0.24379
comuns,1.0,6.0,12571.0,110488.0,8e-05,5e-05,1.46485,0.68266,7.0,123059.0,0.56883
comércio,1.0,31.0,12571.0,110488.0,8e-05,0.00028,0.28352,3.52709,32.0,123059.0,2.60038
concedi,3.0,8.0,12571.0,110488.0,0.00024,7e-05,3.29592,0.30341,11.0,123059.0,0.89388
concedido,1.0,3.0,12571.0,110488.0,8e-05,3e-05,2.92971,0.34133,4.0,123059.0,0.32505
concedo,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
conceituado,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
concentra,1.0,8.0,12571.0,110488.0,8e-05,7e-05,1.09864,0.91022,9.0,123059.0,0.73136
conciliar,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
concluímos,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
concordo,1.0,24.0,12571.0,110488.0,8e-05,0.00022,0.36621,2.73065,25.0,123059.0,2.03155
concorrer,4.0,7.0,12571.0,110488.0,0.00032,6e-05,5.02235,0.19911,11.0,123059.0,0.89388
concurso,2.0,5.0,12571.0,110488.0,0.00016,5e-05,3.51565,0.28444,7.0,123059.0,0.56883
condenados,1.0,17.0,12571.0,110488.0,8e-05,0.00015,0.51701,1.93421,18.0,123059.0,1.46271
condenação,2.0,52.0,12571.0,110488.0,0.00016,0.00047,0.33804,2.9582,54.0,123059.0,4.38814
condições,3.0,51.0,12571.0,110488.0,0.00024,0.00046,0.51701,1.93421,54.0,123059.0,4.38814
conduzido,1.0,4.0,12571.0,110488.0,8e-05,4e-05,2.19728,0.45511,5.0,123059.0,0.40631
condução,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
confederação,1.0,6.0,12571.0,110488.0,8e-05,5e-05,1.46485,0.68266,7.0,123059.0,0.56883
confere,8.0,1.0,12571.0,110488.0,0.00064,1e-05,70.31294,0.01422,9.0,123059.0,0.73136
conferir,4.0,7.0,12571.0,110488.0,0.00032,6e-05,5.02235,0.19911,11.0,123059.0,0.89388
conflito,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
conflitos,1.0,5.0,12571.0,110488.0,8e-05,5e-05,1.75782,0.56889,6.0,123059.0,0.48757
conforme,1.0,4.0,12571.0,110488.0,8e-05,4e-05,2.19728,0.45511,5.0,123059.0,0.40631
congela,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
congresso,4.0,134.0,12571.0,110488.0,0.00032,0.00121,0.26236,3.81153,138.0,123059.0,11.21413
conhece,3.0,22.0,12571.0,110488.0,0.00024,0.0002,1.19852,0.83437,25.0,123059.0,2.03155
conhecem,3.0,7.0,12571.0,110488.0,0.00024,6e-05,3.76676,0.26548,10.0,123059.0,0.81262
conhecendo,1.0,2.0,12571.0,110488.0,8e-05,2e-05,4.39456,0.22755,3.0,123059.0,0.24379
conhecer,2.0,34.0,12571.0,110488.0,0.00016,0.00031,0.51701,1.93421,36.0,123059.0,2.92543
conheciam,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
conhecida,3.0,3.0,12571.0,110488.0,0.00024,3e-05,8.78912,0.11378,6.0,123059.0,0.48757
conhecimento,4.0,19.0,12571.0,110488.0,0.00032,0.00017,1.85034,0.54044,23.0,123059.0,1.86902
conheçam,1.0,6.0,12571.0,110488.0,8e-05,5e-05,1.46485,0.68266,7.0,123059.0,0.56883
conheço,2.0,4.0,12571.0,110488.0,0.00016,4e-05,4.39456,0.22755,6.0,123059.0,0.48757
conjunto,3.0,10.0,12571.0,110488.0,0.00024,9e-05,2.63674,0.37926,13.0,123059.0,1.0564
conosco,3.0,8.0,12571.0,110488.0,0.00024,7e-05,3.29592,0.30341,11.0,123059.0,0.89388
conquista,2.0,22.0,12571.0,110488.0,0.00016,0.0002,0.79901,1.25155,24.0,123059.0,1.95028
conquistados,1.0,2.0,12571.0,110488.0,8e-05,2e-05,4.39456,0.22755,3.0,123059.0,0.24379
conquistar,1.0,12.0,12571.0,110488.0,8e-05,0.00011,0.73243,1.36532,13.0,123059.0,1.0564
conquistaram,1.0,2.0,12571.0,110488.0,8e-05,2e-05,4.39456,0.22755,3.0,123059.0,0.24379
conquistas,2.0,18.0,12571.0,110488.0,0.00016,0.00016,0.97657,1.02399,20.0,123059.0,1.62524
conscientização,1.0,9.0,12571.0,110488.0,8e-05,8e-05,0.97657,1.02399,10.0,123059.0,0.81262
consciência,4.0,43.0,12571.0,110488.0,0.00032,0.00039,0.81759,1.2231,47.0,123059.0,3.81931
consegue,1.0,17.0,12571.0,110488.0,8e-05,0.00015,0.51701,1.93421,18.0,123059.0,1.46271
conseguem,4.0,11.0,12571.0,110488.0,0.00032,0.0001,3.19604,0.31289,15.0,123059.0,1.21893
consegui,1.0,3.0,12571.0,110488.0,8e-05,3e-05,2.92971,0.34133,4.0,123059.0,0.32505
conseguimos,1.0,46.0,12571.0,110488.0,8e-05,0.00042,0.19107,5.23374,47.0,123059.0,3.81931
conseguir,4.0,32.0,12571.0,110488.0,0.00032,0.00029,1.09864,0.91022,36.0,123059.0,2.92543
conseguiremos,1.0,8.0,12571.0,110488.0,8e-05,7e-05,1.09864,0.91022,9.0,123059.0,0.73136
conselho,2.0,17.0,12571.0,110488.0,0.00016,0.00015,1.03401,0.96711,19.0,123059.0,1.54397
consequência,2.0,6.0,12571.0,110488.0,0.00016,5e-05,2.92971,0.34133,8.0,123059.0,0.65009
consequências,4.0,11.0,12571.0,110488.0,0.00032,0.0001,3.19604,0.31289,15.0,123059.0,1.21893
conservadora,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
conservadorismo,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
considerada,1.0,2.0,12571.0,110488.0,8e-05,2e-05,4.39456,0.22755,3.0,123059.0,0.24379
considerado,2.0,9.0,12571.0,110488.0,0.00016,8e-05,1.95314,0.512,11.0,123059.0,0.89388
consigam,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
consistentes,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
constante,1.0,14.0,12571.0,110488.0,8e-05,0.00013,0.62779,1.59288,15.0,123059.0,1.21893
constitucional,1.0,11.0,12571.0,110488.0,8e-05,0.0001,0.79901,1.25155,12.0,123059.0,0.97514
constituinte,1.0,5.0,12571.0,110488.0,8e-05,5e-05,1.75782,0.56889,6.0,123059.0,0.48757
constituição,5.0,60.0,12571.0,110488.0,0.0004,0.00054,0.73243,1.36532,65.0,123059.0,5.28202
constrangedor,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
construindo,1.0,6.0,12571.0,110488.0,8e-05,5e-05,1.46485,0.68266,7.0,123059.0,0.56883
construir,10.0,39.0,12571.0,110488.0,0.0008,0.00035,2.25362,0.44373,49.0,123059.0,3.98183
construiremos,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
construirmos,2.0,1.0,12571.0,110488.0,0.00016,1e-05,17.57824,0.05689,3.0,123059.0,0.24379
construiu,1.0,6.0,12571.0,110488.0,8e-05,5e-05,1.46485,0.68266,7.0,123059.0,0.56883
construção,9.0,57.0,12571.0,110488.0,0.00072,0.00052,1.38776,0.72059,66.0,123059.0,5.36328
construídas,1.0,3.0,12571.0,110488.0,8e-05,3e-05,2.92971,0.34133,4.0,123059.0,0.32505
consumo,2.0,17.0,12571.0,110488.0,0.00016,0.00015,1.03401,0.96711,19.0,123059.0,1.54397
conta,6.0,83.0,12571.0,110488.0,0.00048,0.00075,0.63536,1.57392,89.0,123059.0,7.2323
contam,1.0,8.0,12571.0,110488.0,8e-05,7e-05,1.09864,0.91022,9.0,123059.0,0.73136
contando,1.0,5.0,12571.0,110488.0,8e-05,5e-05,1.75782,0.56889,6.0,123059.0,0.48757
contar,4.0,30.0,12571.0,110488.0,0.00032,0.00027,1.17188,0.85333,34.0,123059.0,2.7629
contas,3.0,65.0,12571.0,110488.0,0.00024,0.00059,0.40565,2.46517,68.0,123059.0,5.5258
contato,2.0,2.0,12571.0,110488.0,0.00016,2e-05,8.78912,0.11378,4.0,123059.0,0.32505
conte,2.0,6.0,12571.0,110488.0,0.00016,5e-05,2.92971,0.34133,8.0,123059.0,0.65009
contem,2.0,10.0,12571.0,110488.0,0.00016,9e-05,1.75782,0.56889,12.0,123059.0,0.97514
contemporâneo,1.0,2.0,12571.0,110488.0,8e-05,2e-05,4.39456,0.22755,3.0,123059.0,0.24379
contente,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
contexto,2.0,6.0,12571.0,110488.0,0.00016,5e-05,2.92971,0.34133,8.0,123059.0,0.65009
conteúdo,4.0,14.0,12571.0,110488.0,0.00032,0.00013,2.51118,0.39822,18.0,123059.0,1.46271
continente,3.0,9.0,12571.0,110488.0,0.00024,8e-05,2.92971,0.34133,12.0,123059.0,0.97514
continua,4.0,34.0,12571.0,110488.0,0.00032,0.00031,1.03401,0.96711,38.0,123059.0,3.08795
continuamos,1.0,4.0,12571.0,110488.0,8e-05,4e-05,2.19728,0.45511,5.0,123059.0,0.40631
continuar,3.0,70.0,12571.0,110488.0,0.00024,0.00063,0.37668,2.6548,73.0,123059.0,5.93211
continuará,1.0,4.0,12571.0,110488.0,8e-05,4e-05,2.19728,0.45511,5.0,123059.0,0.40631
continue,1.0,10.0,12571.0,110488.0,8e-05,9e-05,0.87891,1.13777,11.0,123059.0,0.89388
conto,1.0,27.0,12571.0,110488.0,8e-05,0.00024,0.32552,3.07198,28.0,123059.0,2.27533
contra,59.0,353.0,12571.0,110488.0,0.00469,0.00319,1.469,0.68073,412.0,123059.0,33.47988
contratação,1.0,4.0,12571.0,110488.0,8e-05,4e-05,2.19728,0.45511,5.0,123059.0,0.40631
contribuindo,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
contribuir,3.0,9.0,12571.0,110488.0,0.00024,8e-05,2.92971,0.34133,12.0,123059.0,0.97514
contribuição,6.0,10.0,12571.0,110488.0,0.00048,9e-05,5.27347,0.18963,16.0,123059.0,1.30019
contribuições,1.0,3.0,12571.0,110488.0,8e-05,3e-05,2.92971,0.34133,4.0,123059.0,0.32505
controle,2.0,23.0,12571.0,110488.0,0.00016,0.00021,0.76427,1.30844,25.0,123059.0,2.03155
contrário,4.0,35.0,12571.0,110488.0,0.00032,0.00032,1.00447,0.99555,39.0,123059.0,3.16921
contundente,1.0,2.0,12571.0,110488.0,8e-05,2e-05,4.39456,0.22755,3.0,123059.0,0.24379
conversa,2.0,32.0,12571.0,110488.0,0.00016,0.00029,0.54932,1.82043,34.0,123059.0,2.7629
conversando,1.0,16.0,12571.0,110488.0,8e-05,0.00014,0.54932,1.82043,17.0,123059.0,1.38145
conversar,6.0,28.0,12571.0,110488.0,0.00048,0.00025,1.88338,0.53096,34.0,123059.0,2.7629
conversei,1.0,8.0,12571.0,110488.0,8e-05,7e-05,1.09864,0.91022,9.0,123059.0,0.73136
convicção,3.0,8.0,12571.0,110488.0,0.00024,7e-05,3.29592,0.30341,11.0,123059.0,0.89388
copa,2.0,4.0,12571.0,110488.0,0.00016,4e-05,4.39456,0.22755,6.0,123059.0,0.48757
copo,2.0,2.0,12571.0,110488.0,0.00016,2e-05,8.78912,0.11378,4.0,123059.0,0.32505
coragem,3.0,70.0,12571.0,110488.0,0.00024,0.00063,0.37668,2.6548,73.0,123059.0,5.93211
coração,5.0,15.0,12571.0,110488.0,0.0004,0.00014,2.92971,0.34133,20.0,123059.0,1.62524
corda,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
cores,1.0,3.0,12571.0,110488.0,8e-05,3e-05,2.92971,0.34133,4.0,123059.0,0.32505
corpo,3.0,8.0,12571.0,110488.0,0.00024,7e-05,3.29592,0.30341,11.0,123059.0,0.89388
corpos,3.0,1.0,12571.0,110488.0,0.00024,1e-05,26.36735,0.03793,4.0,123059.0,0.32505
corpus,1.0,15.0,12571.0,110488.0,8e-05,0.00014,0.58594,1.70666,16.0,123059.0,1.30019
corrente,1.0,2.0,12571.0,110488.0,8e-05,2e-05,4.39456,0.22755,3.0,123059.0,0.24379
correntes,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
correto,1.0,7.0,12571.0,110488.0,8e-05,6e-05,1.25559,0.79644,8.0,123059.0,0.65009
corruptos,1.0,57.0,12571.0,110488.0,8e-05,0.00052,0.1542,6.48529,58.0,123059.0,4.71319
corrupção,2.0,215.0,12571.0,110488.0,0.00016,0.00195,0.08176,12.23103,217.0,123059.0,17.63382
corte,3.0,46.0,12571.0,110488.0,0.00024,0.00042,0.5732,1.74458,49.0,123059.0,3.98183
cortes,1.0,11.0,12571.0,110488.0,8e-05,0.0001,0.79901,1.25155,12.0,123059.0,0.97514
costa,1.0,10.0,12571.0,110488.0,8e-05,9e-05,0.87891,1.13777,11.0,123059.0,0.89388
costas,2.0,10.0,12571.0,110488.0,0.00016,9e-05,1.75782,0.56889,12.0,123059.0,0.97514
costumo,1.0,2.0,12571.0,110488.0,8e-05,2e-05,4.39456,0.22755,3.0,123059.0,0.24379
cotas,2.0,4.0,12571.0,110488.0,0.00016,4e-05,4.39456,0.22755,6.0,123059.0,0.48757
cotidiano,1.0,3.0,12571.0,110488.0,8e-05,3e-05,2.92971,0.34133,4.0,123059.0,0.32505
creche,7.0,10.0,12571.0,110488.0,0.00056,9e-05,6.15238,0.16254,17.0,123059.0,1.38145
creches,1.0,8.0,12571.0,110488.0,8e-05,7e-05,1.09864,0.91022,9.0,123059.0,0.73136
crenças,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
crescendo,1.0,14.0,12571.0,110488.0,8e-05,0.00013,0.62779,1.59288,15.0,123059.0,1.21893
crescer,4.0,62.0,12571.0,110488.0,0.00032,0.00056,0.56704,1.76354,66.0,123059.0,5.36328
crescimento,5.0,90.0,12571.0,110488.0,0.0004,0.00081,0.48828,2.04799,95.0,123059.0,7.71987
cria,1.0,16.0,12571.0,110488.0,8e-05,0.00014,0.54932,1.82043,17.0,123059.0,1.38145
criado,1.0,11.0,12571.0,110488.0,8e-05,0.0001,0.79901,1.25155,12.0,123059.0,0.97514
criando,1.0,6.0,12571.0,110488.0,8e-05,5e-05,1.46485,0.68266,7.0,123059.0,0.56883
criança,8.0,16.0,12571.0,110488.0,0.00064,0.00014,4.39456,0.22755,24.0,123059.0,1.95028
crianças,14.0,46.0,12571.0,110488.0,0.00111,0.00042,2.67495,0.37384,60.0,123059.0,4.87571
criar,4.0,64.0,12571.0,110488.0,0.00032,0.00058,0.54932,1.82043,68.0,123059.0,5.5258
criação,2.0,41.0,12571.0,110488.0,0.00016,0.00037,0.42874,2.33243,43.0,123059.0,3.49426
criei,1.0,7.0,12571.0,110488.0,8e-05,6e-05,1.25559,0.79644,8.0,123059.0,0.65009
crime,5.0,100.0,12571.0,110488.0,0.0004,0.00091,0.43946,2.27554,105.0,123059.0,8.53249
crimes,5.0,30.0,12571.0,110488.0,0.0004,0.00027,1.46485,0.68266,35.0,123059.0,2.84416
criminalizar,1.0,3.0,12571.0,110488.0,8e-05,3e-05,2.92971,0.34133,4.0,123059.0,0.32505
criou,1.0,25.0,12571.0,110488.0,8e-05,0.00023,0.35156,2.84443,26.0,123059.0,2.11281
crise,46.0,92.0,12571.0,110488.0,0.00366,0.00083,4.39456,0.22755,138.0,123059.0,11.21413
cristina,1.0,6.0,12571.0,110488.0,8e-05,5e-05,1.46485,0.68266,7.0,123059.0,0.56883
cristo,3.0,1.0,12571.0,110488.0,0.00024,1e-05,26.36735,0.03793,4.0,123059.0,0.32505
cristãos,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
cruel,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
cruz,1.0,13.0,12571.0,110488.0,8e-05,0.00012,0.67609,1.4791,14.0,123059.0,1.13767
cruzeiro,1.0,3.0,12571.0,110488.0,8e-05,3e-05,2.92971,0.34133,4.0,123059.0,0.32505
crédito,1.0,15.0,12571.0,110488.0,8e-05,0.00014,0.58594,1.70666,16.0,123059.0,1.30019
crítica,2.0,4.0,12571.0,110488.0,0.00016,4e-05,4.39456,0.22755,6.0,123059.0,0.48757
críticas,2.0,5.0,12571.0,110488.0,0.00016,5e-05,3.51565,0.28444,7.0,123059.0,0.56883
cuida,1.0,5.0,12571.0,110488.0,8e-05,5e-05,1.75782,0.56889,6.0,123059.0,0.48757
cuidado,2.0,21.0,12571.0,110488.0,0.00016,0.00019,0.83706,1.19466,23.0,123059.0,1.86902
cuidados,1.0,2.0,12571.0,110488.0,8e-05,2e-05,4.39456,0.22755,3.0,123059.0,0.24379
cuidando,1.0,3.0,12571.0,110488.0,8e-05,3e-05,2.92971,0.34133,4.0,123059.0,0.32505
cuidar,2.0,38.0,12571.0,110488.0,0.00016,0.00034,0.46259,2.16176,40.0,123059.0,3.25047
cujo,1.0,3.0,12571.0,110488.0,8e-05,3e-05,2.92971,0.34133,4.0,123059.0,0.32505
culpa,2.0,23.0,12571.0,110488.0,0.00016,0.00021,0.76427,1.30844,25.0,123059.0,2.03155
culpados,1.0,2.0,12571.0,110488.0,8e-05,2e-05,4.39456,0.22755,3.0,123059.0,0.24379
cultua,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
cultura,6.0,48.0,12571.0,110488.0,0.00048,0.00043,1.09864,0.91022,54.0,123059.0,4.38814
culturais,2.0,4.0,12571.0,110488.0,0.00016,4e-05,4.39456,0.22755,6.0,123059.0,0.48757
cultural,1.0,16.0,12571.0,110488.0,8e-05,0.00014,0.54932,1.82043,17.0,123059.0,1.38145
cumprida,1.0,8.0,12571.0,110488.0,8e-05,7e-05,1.09864,0.91022,9.0,123059.0,0.73136
cumprindo,1.0,9.0,12571.0,110488.0,8e-05,8e-05,0.97657,1.02399,10.0,123059.0,0.81262
cumprir,2.0,11.0,12571.0,110488.0,0.00016,0.0001,1.59802,0.62577,13.0,123059.0,1.0564
cunha,1.0,7.0,12571.0,110488.0,8e-05,6e-05,1.25559,0.79644,8.0,123059.0,0.65009
curricular,1.0,7.0,12571.0,110488.0,8e-05,6e-05,1.25559,0.79644,8.0,123059.0,0.65009
curso,1.0,17.0,12571.0,110488.0,8e-05,0.00015,0.51701,1.93421,18.0,123059.0,1.46271
cursos,2.0,16.0,12571.0,110488.0,0.00016,0.00014,1.09864,0.91022,18.0,123059.0,1.46271
curte,1.0,16.0,12571.0,110488.0,8e-05,0.00014,0.54932,1.82043,17.0,123059.0,1.38145
custo,1.0,28.0,12571.0,110488.0,8e-05,0.00025,0.3139,3.18576,29.0,123059.0,2.35659
câmara,9.0,123.0,12571.0,110488.0,0.00072,0.00111,0.64311,1.55495,132.0,123059.0,10.72656
dada,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
dado,2.0,13.0,12571.0,110488.0,0.00016,0.00012,1.35217,0.73955,15.0,123059.0,1.21893
dados,15.0,17.0,12571.0,110488.0,0.00119,0.00015,7.7551,0.12895,32.0,123059.0,2.60038
damos,1.0,12.0,12571.0,110488.0,8e-05,0.00011,0.73243,1.36532,13.0,123059.0,1.0564
dando,3.0,28.0,12571.0,110488.0,0.00024,0.00025,0.94169,1.06192,31.0,123059.0,2.51912
danosa,2.0,1.0,12571.0,110488.0,0.00016,1e-05,17.57824,0.05689,3.0,123059.0,0.24379
daquele,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
daqui,6.0,41.0,12571.0,110488.0,0.00048,0.00037,1.28621,0.77748,47.0,123059.0,3.81931
darem,2.0,1.0,12571.0,110488.0,0.00016,1e-05,17.57824,0.05689,3.0,123059.0,0.24379
data,2.0,19.0,12571.0,110488.0,0.00016,0.00017,0.92517,1.08088,21.0,123059.0,1.7065
datafolha,1.0,14.0,12571.0,110488.0,8e-05,0.00013,0.62779,1.59288,15.0,123059.0,1.21893
david,1.0,4.0,12571.0,110488.0,8e-05,4e-05,2.19728,0.45511,5.0,123059.0,0.40631
davos,2.0,5.0,12571.0,110488.0,0.00016,5e-05,3.51565,0.28444,7.0,123059.0,0.56883
debate,32.0,69.0,12571.0,110488.0,0.00255,0.00062,4.07611,0.24533,101.0,123059.0,8.20745
debatemos,1.0,2.0,12571.0,110488.0,8e-05,2e-05,4.39456,0.22755,3.0,123059.0,0.24379
debatendo,3.0,4.0,12571.0,110488.0,0.00024,4e-05,6.59184,0.1517,7.0,123059.0,0.56883
debater,15.0,26.0,12571.0,110488.0,0.00119,0.00024,5.07064,0.19721,41.0,123059.0,3.33174
debatermos,2.0,2.0,12571.0,110488.0,0.00016,2e-05,8.78912,0.11378,4.0,123059.0,0.32505
debates,2.0,10.0,12571.0,110488.0,0.00016,9e-05,1.75782,0.56889,12.0,123059.0,0.97514
debatida,1.0,2.0,12571.0,110488.0,8e-05,2e-05,4.39456,0.22755,3.0,123059.0,0.24379
decidir,2.0,16.0,12571.0,110488.0,0.00016,0.00014,1.09864,0.91022,18.0,123059.0,1.46271
decidiu,1.0,10.0,12571.0,110488.0,8e-05,9e-05,0.87891,1.13777,11.0,123059.0,0.89388
decisiva,1.0,3.0,12571.0,110488.0,8e-05,3e-05,2.92971,0.34133,4.0,123059.0,0.32505
decisão,5.0,85.0,12571.0,110488.0,0.0004,0.00077,0.51701,1.93421,90.0,123059.0,7.31357
dedica,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
dedo,1.0,3.0,12571.0,110488.0,8e-05,3e-05,2.92971,0.34133,4.0,123059.0,0.32505
defende,2.0,40.0,12571.0,110488.0,0.00016,0.00036,0.43946,2.27554,42.0,123059.0,3.413
defendem,4.0,4.0,12571.0,110488.0,0.00032,4e-05,8.78912,0.11378,8.0,123059.0,0.65009
defendemos,6.0,13.0,12571.0,110488.0,0.00048,0.00012,4.05652,0.24652,19.0,123059.0,1.54397
defendendo,1.0,11.0,12571.0,110488.0,8e-05,0.0001,0.79901,1.25155,12.0,123059.0,0.97514
defender,2.0,35.0,12571.0,110488.0,0.00016,0.00032,0.50224,1.9911,37.0,123059.0,3.00669
defendo,9.0,74.0,12571.0,110488.0,0.00072,0.00067,1.06895,0.9355,83.0,123059.0,6.74473
defensor,1.0,7.0,12571.0,110488.0,8e-05,6e-05,1.25559,0.79644,8.0,123059.0,0.65009
defesa,21.0,86.0,12571.0,110488.0,0.00167,0.00078,2.14618,0.46594,107.0,123059.0,8.69502
deficiência,2.0,9.0,12571.0,110488.0,0.00016,8e-05,1.95314,0.512,11.0,123059.0,0.89388
deixa,4.0,15.0,12571.0,110488.0,0.00032,0.00014,2.34376,0.42666,19.0,123059.0,1.54397
deixam,2.0,3.0,12571.0,110488.0,0.00016,3e-05,5.85941,0.17067,5.0,123059.0,0.40631
deixar,2.0,56.0,12571.0,110488.0,0.00016,0.00051,0.3139,3.18576,58.0,123059.0,4.71319
deixarem,1.0,2.0,12571.0,110488.0,8e-05,2e-05,4.39456,0.22755,3.0,123059.0,0.24379
deixei,1.0,6.0,12571.0,110488.0,8e-05,5e-05,1.46485,0.68266,7.0,123059.0,0.56883
deixem,2.0,9.0,12571.0,110488.0,0.00016,8e-05,1.95314,0.512,11.0,123059.0,0.89388
deixo,1.0,9.0,12571.0,110488.0,8e-05,8e-05,0.97657,1.02399,10.0,123059.0,0.81262
deixou,3.0,16.0,12571.0,110488.0,0.00024,0.00014,1.64796,0.60681,19.0,123059.0,1.54397
demagogia,1.0,3.0,12571.0,110488.0,8e-05,3e-05,2.92971,0.34133,4.0,123059.0,0.32505
demais,7.0,23.0,12571.0,110488.0,0.00056,0.00021,2.67495,0.37384,30.0,123059.0,2.43786
democracia,29.0,120.0,12571.0,110488.0,0.00231,0.00109,2.12404,0.4708,149.0,123059.0,12.10801
democracias,1.0,2.0,12571.0,110488.0,8e-05,2e-05,4.39456,0.22755,3.0,123059.0,0.24379
democraticamente,1.0,5.0,12571.0,110488.0,8e-05,5e-05,1.75782,0.56889,6.0,123059.0,0.48757
democratização,1.0,5.0,12571.0,110488.0,8e-05,5e-05,1.75782,0.56889,6.0,123059.0,0.48757
democrática,4.0,9.0,12571.0,110488.0,0.00032,8e-05,3.90627,0.256,13.0,123059.0,1.0564
democrático,6.0,13.0,12571.0,110488.0,0.00048,0.00012,4.05652,0.24652,19.0,123059.0,1.54397
demonstra,2.0,7.0,12571.0,110488.0,0.00016,6e-05,2.51118,0.39822,9.0,123059.0,0.73136
demonstração,1.0,3.0,12571.0,110488.0,8e-05,3e-05,2.92971,0.34133,4.0,123059.0,0.32505
demora,1.0,5.0,12571.0,110488.0,8e-05,5e-05,1.75782,0.56889,6.0,123059.0,0.48757
denise,2.0,2.0,12571.0,110488.0,0.00016,2e-05,8.78912,0.11378,4.0,123059.0,0.32505
dentro,6.0,31.0,12571.0,110488.0,0.00048,0.00028,1.70112,0.58785,37.0,123059.0,3.00669
denunciado,1.0,5.0,12571.0,110488.0,8e-05,5e-05,1.75782,0.56889,6.0,123059.0,0.48757
denunciando,2.0,4.0,12571.0,110488.0,0.00016,4e-05,4.39456,0.22755,6.0,123059.0,0.48757
denunciar,7.0,5.0,12571.0,110488.0,0.00056,5e-05,12.30476,0.08127,12.0,123059.0,0.97514
denúncia,6.0,27.0,12571.0,110488.0,0.00048,0.00024,1.95314,0.512,33.0,123059.0,2.68164
departamento,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
depoimento,1.0,6.0,12571.0,110488.0,8e-05,5e-05,1.46485,0.68266,7.0,123059.0,0.56883
depoimentos,1.0,3.0,12571.0,110488.0,8e-05,3e-05,2.92971,0.34133,4.0,123059.0,0.32505
