word,__sum_candidate,__sum_others,__total_candidate,__total_others,__ratio_candidate,__ratio_others,more_likely_candidate,more_likely_others,__sum_all,__total_all,__ratio_all
assembleia,24.0,16.0,12571.0,110488.0,0.00191,0.00014,13.18368,0.07585,40.0,123059.0,3.25047
assentamentos,1.0,4.0,12571.0,110488.0,8e-05,4e-05,2.19728,0.45511,5.0,123059.0,0.40631
assim,11.0,109.0,12571.0,110488.0,0.00088,0.00099,0.88698,1.12743,120.0,123059.0,9.75142
assinada,1.0,9.0,12571.0,110488.0,8e-05,8e-05,0.97657,1.02399,10.0,123059.0,0.81262
assinamos,1.0,17.0,12571.0,110488.0,8e-05,0.00015,0.51701,1.93421,18.0,123059.0,1.46271
assinou,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
assista,3.0,111.0,12571.0,110488.0,0.00024,0.001,0.23754,4.20975,114.0,123059.0,9.26385
assistam,5.0,1.0,12571.0,110488.0,0.0004,1e-05,43.94559,0.02276,6.0,123059.0,0.48757
assiste,3.0,1.0,12571.0,110488.0,0.00024,1e-05,26.36735,0.03793,4.0,123059.0,0.32505
assistir,1.0,13.0,12571.0,110488.0,8e-05,0.00012,0.67609,1.4791,14.0,123059.0,1.13767
assistência,1.0,5.0,12571.0,110488.0,8e-05,5e-05,1.75782,0.56889,6.0,123059.0,0.48757
assumir,1.0,13.0,12571.0,110488.0,8e-05,0.00012,0.67609,1.4791,14.0,123059.0,1.13767
assumo,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
assunto,6.0,23.0,12571.0,110488.0,0.00048,0.00021,2.29281,0.43615,29.0,123059.0,2.35659
assustador,1.0,4.0,12571.0,110488.0,8e-05,4e-05,2.19728,0.45511,5.0,123059.0,0.40631
assustadora,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
atacam,1.0,3.0,12571.0,110488.0,8e-05,3e-05,2.92971,0.34133,4.0,123059.0,0.32505
atacando,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
atacaram,1.0,2.0,12571.0,110488.0,8e-05,2e-05,4.39456,0.22755,3.0,123059.0,0.24379
ataque,5.0,6.0,12571.0,110488.0,0.0004,5e-05,7.32426,0.13653,11.0,123059.0,0.89388
ataques,1.0,2.0,12571.0,110488.0,8e-05,2e-05,4.39456,0.22755,3.0,123059.0,0.24379
atendimento,1.0,23.0,12571.0,110488.0,8e-05,0.00021,0.38214,2.61687,24.0,123059.0,1.95028
atentos,2.0,2.0,12571.0,110488.0,0.00016,2e-05,8.78912,0.11378,4.0,123059.0,0.32505
atenção,2.0,25.0,12571.0,110488.0,0.00016,0.00023,0.70313,1.42221,27.0,123059.0,2.19407
atinge,2.0,1.0,12571.0,110488.0,0.00016,1e-05,17.57824,0.05689,3.0,123059.0,0.24379
atividade,1.0,13.0,12571.0,110488.0,8e-05,0.00012,0.67609,1.4791,14.0,123059.0,1.13767
ativismo,4.0,1.0,12571.0,110488.0,0.00032,1e-05,35.15647,0.02844,5.0,123059.0,0.40631
ativista,2.0,5.0,12571.0,110488.0,0.00016,5e-05,3.51565,0.28444,7.0,123059.0,0.56883
atletas,1.0,3.0,12571.0,110488.0,8e-05,3e-05,2.92971,0.34133,4.0,123059.0,0.32505
ator,1.0,4.0,12571.0,110488.0,8e-05,4e-05,2.19728,0.45511,5.0,123059.0,0.40631
atos,2.0,10.0,12571.0,110488.0,0.00016,9e-05,1.75782,0.56889,12.0,123059.0,0.97514
atraso,1.0,10.0,12571.0,110488.0,8e-05,9e-05,0.87891,1.13777,11.0,123059.0,0.89388
através,1.0,15.0,12571.0,110488.0,8e-05,0.00014,0.58594,1.70666,16.0,123059.0,1.30019
atriz,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
atrás,1.0,26.0,12571.0,110488.0,8e-05,0.00024,0.33804,2.9582,27.0,123059.0,2.19407
atuais,1.0,9.0,12571.0,110488.0,8e-05,8e-05,0.97657,1.02399,10.0,123059.0,0.81262
atualidade,2.0,1.0,12571.0,110488.0,0.00016,1e-05,17.57824,0.05689,3.0,123059.0,0.24379
atualmente,1.0,9.0,12571.0,110488.0,8e-05,8e-05,0.97657,1.02399,10.0,123059.0,0.81262
atuante,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
atuar,1.0,6.0,12571.0,110488.0,8e-05,5e-05,1.46485,0.68266,7.0,123059.0,0.56883
atuação,2.0,13.0,12571.0,110488.0,0.00016,0.00012,1.35217,0.73955,15.0,123059.0,1.21893
audiência,1.0,14.0,12571.0,110488.0,8e-05,0.00013,0.62779,1.59288,15.0,123059.0,1.21893
