__ratio_all,__ratio_candidate,__ratio_others,__sum_all,__sum_candidate,__sum_others,__total_all,__total_candidate,__total_others,file,more_likely_candidate,more_likely_others,twitter_handle,word
1.0564,2.9999999999999997e-05,0.00013000000000000002,13.0,1.0,12.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,0.25698000000000004,3.8914,alvarodias_,acabaram
0.73136,0.0002,2.9999999999999997e-05,9.0,6.0,3.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,6.16745,0.16214,alvarodias_,acabarmos
0.16252,2.9999999999999997e-05,1e-05,2.0,1.0,1.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,3.08373,0.32428,alvarodias_,acabará
0.40631,0.0001,2e-05,5.0,3.0,2.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,4.62559,0.21619000000000002,alvarodias_,acabe
1.0564,2.9999999999999997e-05,0.00013000000000000002,13.0,1.0,12.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,0.25698000000000004,3.8914,alvarodias_,acabei
1.54397,0.00016999999999999999,0.00015,19.0,5.0,14.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,1.10133,0.90799,alvarodias_,acabou
0.5688300000000001,0.0001,4e-05,7.0,3.0,4.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,2.31279,0.43238000000000004,alvarodias_,acaso
0.97514,0.00013000000000000002,9e-05,12.0,4.0,8.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,1.54186,0.64857,alvarodias_,aceita
0.40631,2.9999999999999997e-05,4e-05,5.0,1.0,4.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,0.77093,1.29713,alvarodias_,aceitam
1.46271,0.00013000000000000002,0.00015,18.0,4.0,14.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,0.8810600000000001,1.13499,alvarodias_,aceitar
0.24379,7e-05,1e-05,3.0,2.0,1.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,6.16745,0.16214,alvarodias_,acelerar
0.32505,2.9999999999999997e-05,2.9999999999999997e-05,4.0,1.0,3.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,1.02791,0.97285,alvarodias_,acerta
0.24379,7e-05,1e-05,3.0,2.0,1.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,6.16745,0.16214,alvarodias_,acertar
0.16252,2.9999999999999997e-05,1e-05,2.0,1.0,1.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,3.08373,0.32428,alvarodias_,acertou
0.73136,0.00013000000000000002,5e-05,9.0,4.0,5.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,2.46698,0.40535,alvarodias_,acesse
4.63192,0.0002,0.00055,57.0,6.0,51.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,0.36279,2.75641,alvarodias_,acesso
3.9005699999999996,0.001,0.00018999999999999998,48.0,30.0,18.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,5.13954,0.19457,alvarodias_,acha
2.7629,0.00027,0.00028,34.0,8.0,26.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,0.94884,1.05392,alvarodias_,acham
0.24379,2.9999999999999997e-05,2e-05,3.0,1.0,2.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,1.54186,0.64857,alvarodias_,achamos
0.65009,2.9999999999999997e-05,8e-05,8.0,1.0,7.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,0.44053000000000003,2.26998,alvarodias_,achei
5.20076,0.0003,0.00059,64.0,9.0,55.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,0.50461,1.98173,alvarodias_,acho
0.73136,0.0002,2.9999999999999997e-05,9.0,6.0,3.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,6.16745,0.16214,alvarodias_,achou
0.48757,7e-05,4e-05,6.0,2.0,4.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,1.54186,0.64857,alvarodias_,acidente
